model,event_id,market_id,model_prob_yes,yes_ask,no_ask,outcome,platform
GPT-5.4,E1293,M02304,0.64,98.0,16.0,0.0,Kalshi
GPT-5.4,E7189,M13876,0.15,,,0.0,QGen
GPT-5.4,E1253,M02236,0.95,,,1.0,Kalshi
GPT-5.4,E0908,M01632,0.02,0.5,99.9,0.0,Polymarket
GPT-5.4,E7323,M14167,0.62,,,1.0,QGen
GPT-5.4,E0595,M01093,0.07,3.0,98.0,0.0,Kalshi
GPT-5.4,E0580,M01071,0.22,22.0,81.0,0.0,Kalshi
GPT-5.4,E1363,M02427,0.003,0.1,99.9,0.0,Polymarket
GPT-5.4,E1363,M02428,0.01,0.1,99.9,0.0,Polymarket
GPT-5.4,E3506,M06609,0.66,67.0,34.0,1.0,Polymarket
GPT-5.4,E1375,M02453,0.81,,,1.0,Kalshi
GPT-5.4,E3438,M06477,0.35,34.0,67.0,0.0,Polymarket
GPT-5.4,E3387,M06383,0.89,93.0,8.0,1.0,Kalshi
GPT-5.4,E1234,M08986,0.98,,,0.0,Polymarket
GPT-5.4,E0674,M08801,0.03,0.1,99.9,0.0,Polymarket
GPT-5.4,E1237,M08987,0.02,0.5599999999999999,99.7,0.0,Polymarket
GPT-5.4,E1238,M02208,0.23,35.8,94.56,0.0,Polymarket
GPT-5.4,E1237,M08988,0.04,0.5599999999999999,99.9,0.0,Polymarket
GPT-5.4,E1237,M08989,0.94,99.9,1.0,1.0,Polymarket
GPT-5.4,E0675,M08802,0.96,99.0,2.0,1.0,Polymarket
GPT-5.4,E1236,M08990,0.01,0.4,99.8,0.0,Polymarket
GPT-5.4,E1238,M02209,0.02,2.1999999999999997,99.8,0.0,Polymarket
GPT-5.4,E1236,M08991,0.02,2.64,99.8,0.0,Polymarket
GPT-5.4,E0674,M01217,0.78,1.3,99.9,0.0,Polymarket
GPT-5.4,E1238,M02210,0.02,1.6,99.9,0.0,Polymarket
GPT-5.4,E1238,M02211,0.03,0.66,99.17,0.0,Polymarket
GPT-5.4,E1236,M02200,0.42,99.31,96.1,0.0,Polymarket
GPT-5.4,E0675,M01218,0.02,0.8,99.87,0.0,Polymarket
GPT-5.4,E1614,M02905,0.08,11.0,97.3,0.0,Polymarket
GPT-5.4,E1614,M04871,0.36,49.0,79.0,0.0,Polymarket
GPT-5.4,E1236,M02202,0.01,0.7000000000000001,99.4,0.0,Polymarket
GPT-5.4,E1238,M11506,0.01,0.7000000000000001,99.9,0.0,Polymarket
GPT-5.4,E1237,M11508,0.04,0.1,99.9,0.0,Polymarket
GPT-5.4,E1237,M11505,0.01,0.8,99.9,0.0,Polymarket
GPT-5.4,E1238,M11511,0.03,0.8099999999999999,99.6,0.0,Polymarket
GPT-5.4,E0679,M01225,0.05,1.2,99.9,0.0,Polymarket
GPT-5.4,E1238,M11512,0.02,1.3,99.0,0.0,Polymarket
GPT-5.4,E0679,M01224,0.01,0.1,99.9,0.0,Polymarket
GPT-5.4,E1237,M02207,0.01,0.3899999999999999,99.8,0.0,Polymarket
GPT-5.4,E1237,M02206,0.0012,0.2,99.9,0.0,Polymarket
GPT-5.4,E1237,M02204,0.01,0.1,99.9,0.0,Polymarket
GPT-5.4,E1237,M02203,0.01,0.1,99.9,0.0,Polymarket
GPT-5.4,E1237,M02205,0.02,0.1,99.9,0.0,Polymarket
GPT-5.4,E1237,M11513,0.01,0.05,99.95,0.0,Polymarket
GPT-5.4,E0679,M05014,0.01,0.05,99.95,0.0,Polymarket
GPT-5.4,E0679,M02906,0.04,0.1,99.9,0.0,Polymarket
GPT-5.4,E7327,M14171,0.4,,,1.0,QGen
GPT-5.4,E6924,M13051,0.46,,,1.0,QGen
GPT-5.4,E0680,M01226,0.84,99.8,0.2,1.0,Polymarket
GPT-5.4,E3417,M06441,0.16,92.0,13.0,1.0,Kalshi
GPT-5.4,E3418,M06442,0.74,74.0,30.0,1.0,Kalshi
GPT-5.4,E3397,M14303,0.79,,,1.0,Polymarket
GPT-5.4,E4722,M09128,0.46,,,0.0,Polymarket
GPT-5.4,E2443,M04494,0.65,78.0,23.0,1.0,Polymarket
GPT-5.4,E7190,M13877,0.16,,,0.0,QGen
GPT-5.4,E0556,M01033,0.98,99.7,1.9,1.0,Polymarket
GPT-5.4,E7361,M14269,0.56,,,1.0,QGen
GPT-5.4,E3335,M06285,0.07,6.0,95.0,1.0,Polymarket
GPT-5.4,E1234,M02197,0.95,,,0.0,Polymarket
GPT-5.4,E0675,M11510,0.12,0.1,95.0,0.0,Polymarket
GPT-5.4,E0987,M05633,0.03,1.0,99.6,0.0,Polymarket
GPT-5.4,E1234,M02197,0.94,,,0.0,Polymarket
GPT-5.4,E7290,M14108,0.95,,,1.0,Kalshi
GPT-5.4,E3340,M06294,0.1,,,0.0,Kalshi
GPT-5.4,E0675,M11510,0.12,0.1,95.0,0.0,Polymarket
GPT-5.4,E1349,M02400,0.01,0.2,99.9,0.0,Polymarket
GPT-5.4,E1234,M02197,0.95,,,0.0,Polymarket
GPT-5.4,E3419,M14304,0.56,57.99999999999999,46.0,0.0,Kalshi
GPT-5.4,E0675,M11510,0.05,0.1,95.0,0.0,Polymarket
GPT-5.4,E1234,M02197,0.95,,,0.0,Polymarket
GPT-5.4,E0675,M11510,0.05,0.1,95.0,0.0,Polymarket
GPT-5.4,E1084,M12530,0.1,10.0,93.0,0.0,Kalshi
GPT-5.4,E1152,M06208,0.89,96.0,8.0,1.0,Kalshi
GPT-5.4,E1583,M02807,0.81,94.0,8.0,1.0,Kalshi
GPT-5.4,E5269,M10347,0.78,,,1.0,Kalshi
GPT-5.4,E1121,M02007,0.86,88.0,15.0,1.0,Kalshi
GPT-5.4,E3391,M06391,0.01,0.8999999999999999,99.5,0.0,Polymarket
GPT-5.4,E2413,M10376,0.02,7.16,99.5,0.0,Polymarket
GPT-5.4,E2411,M09067,0.04,0.5,99.8,0.0,Polymarket
GPT-5.4,E1504,M02687,0.74,79.0,22.0,1.0,Polymarket
GPT-5.4,E7122,M13744,0.21,,,0.0,QGen
GPT-5.4,E7150,M13772,0.74,,,0.0,QGen
GPT-5.4,E7151,M13773,0.06,,,0.0,QGen
GPT-5.4,E7152,M13774,0.37,,,0.0,QGen
GPT-5.4,E7149,M13771,0.86,,,1.0,QGen
GPT-5.4,E7153,M13775,0.14,,,0.0,QGen
GPT-5.4,E1379,M02460,0.02,,,0.0,Kalshi
GPT-5.4,E1380,M02462,0.1,10.0,98.0,0.0,Kalshi
GPT-5.4,E1382,M13472,0.06,,,0.0,Kalshi
GPT-5.4,E1384,M02469,0.97,,,1.0,Kalshi
GPT-5.4,E1427,M02548,0.54,98.0,48.0,1.0,Kalshi
GPT-5.4,E0697,M13839,0.11,,,0.0,Kalshi
GPT-5.4,E4685,M09056,0.81,93.0,38.0,1.0,Kalshi
GPT-5.4,E1381,M02464,0.07,,,0.0,Kalshi
GPT-5.4,E1374,M02451,0.06,,,0.0,Kalshi
GPT-5.4,E1251,M02233,0.15,6.0,98.0,0.0,Kalshi
GPT-5.4,E3341,M06296,0.1,,,0.0,Kalshi
GPT-5.4,E1251,M12909,0.12,,,0.0,Kalshi
GPT-5.4,E1378,M02458,0.91,98.0,26.0,1.0,Kalshi
GPT-5.4,E4688,M09063,0.69,99.0,28.999999999999996,1.0,Kalshi
GPT-5.4,E1234,M11466,0.01,,,0.0,Polymarket
GPT-5.4,E4627,M08937,0.62,,,1.0,Kalshi
GPT-5.4,E6901,M13028,0.57,,,1.0,QGen
GPT-5.4,E1246,M12442,0.68,,,0.0,Kalshi
GPT-5.4,E0581,M12444,0.68,2.0,99.0,0.0,Kalshi
GPT-5.4,E7196,M13883,0.35,,,0.0,QGen
GPT-5.4,E6900,M13027,0.53,,,1.0,QGen
GPT-5.4,E1246,M02225,0.4,15.0,89.0,0.0,Kalshi
GPT-5.4,E3389,M06387,0.05,7.000000000000001,97.0,0.0,Kalshi
GPT-5.4,E6311,M11835,0.01,,,0.0,Kalshi
GPT-5.4,E0550,M01022,0.01,,,0.0,Kalshi
GPT-5.4,E1143,M02043,0.91,99.0,35.0,1.0,Kalshi
GPT-5.4,E0371,M00719,0.01,,,0.0,Polymarket
GPT-5.4,E0371,M02899,0.002,,,0.0,Polymarket
GPT-5.4,E7326,M14170,0.69,,,1.0,QGen
GPT-5.4,E1345,M02392,0.97,99.0,2.0,1.0,Kalshi
GPT-5.4,E1102,M01977,0.59,71.0,36.0,1.0,Kalshi
GPT-5.4,E1084,M12780,0.04,3.0,99.0,0.0,Kalshi
GPT-5.4,E1432,M02557,0.1,6.0,95.0,0.0,Kalshi
GPT-5.4,E1246,M06206,0.85,99.0,4.0,1.0,Kalshi
GPT-5.4,E1246,M06207,0.07,15.0,89.0,0.0,Kalshi
GPT-5.4,E1485,M08898,0.02,,,0.0,Kalshi
GPT-5.4,E3149,M05926,0.01,,,0.0,Polymarket
GPT-5.4,E3334,M06283,0.01,10.0,99.9,0.0,Polymarket
GPT-5.4,E1144,M13105,0.02,,,0.0,Kalshi
GPT-5.4,E2780,M05183,0.9,,,1.0,Kalshi
GPT-5.4,E3107,M05846,0.78,,,1.0,Kalshi
GPT-5.4,E3281,M06181,0.27,,,0.0,Kalshi
GPT-5.4,E3337,M06289,0.18,2.0,99.0,0.0,Kalshi
GPT-5.4,E7323,M14167,0.63,,,1.0,QGen
GPT-5.4,E3419,M06444,0.51,56.00000000000001,46.0,1.0,Kalshi
GPT-5.4,E7374,M14305,0.95,,,1.0,Kalshi
GPT-5.4,E3524,M06644,0.56,56.00000000000001,45.0,1.0,Kalshi
GPT-5.4,E7374,M14306,0.84,,,1.0,Kalshi
GPT-5.4,E7374,M14307,0.89,,,1.0,Kalshi
GPT-5.4,E7374,M14308,0.68,,,1.0,Kalshi
GPT-5.4,E4791,M09260,0.55,60.0,44.0,0.0,Kalshi
GPT-5.4,E3420,M06445,0.09,0.8999999999999999,99.8,0.0,Polymarket
GPT-5.4,E3420,M06446,0.55,57.99999999999999,46.0,0.0,Polymarket
GPT-5.4,E7195,M13882,0.34,,,1.0,QGen
GPT-5.4,E7191,M13878,0.69,,,1.0,QGen
GPT-5.4,E7192,M13879,0.59,,,0.0,QGen
GPT-5.4,E7324,M14168,0.23,,,0.0,QGen
GPT-5.4,E4684,M09054,0.89,,,1.0,Kalshi
GPT-5.4,E1497,M02675,0.27,6.0,98.0,0.0,Kalshi
GPT-5.4,E3049,M05718,0.05,,,0.0,Kalshi
GPT-5.4,E1385,M02471,0.02,,,0.0,Kalshi
GPT-5.4,E3399,M06406,0.14,4.0,97.0,0.0,Kalshi
GPT-5.4,E4686,M09058,0.12,5.0,96.0,0.0,Kalshi
GPT-5.4,E1386,M02473,0.08,,,0.0,Kalshi
GPT-5.4,E3338,M06291,0.99,98.0,44.0,1.0,Kalshi
GPT-5.4,E6985,M13159,0.03,,,0.0,Kalshi
GPT-5.4,E5225,M10267,0.96,,,1.0,Kalshi
GPT-5.4,E0938,M01681,0.88,99.0,24.0,1.0,Kalshi
GPT-5.4,E4696,M09080,0.09,8.0,93.0,0.0,Polymarket
GPT-5.4,E4696,M09081,0.77,77.0,24.0,1.0,Polymarket
GPT-5.4,E3397,M06402,0.54,53.0,48.0,1.0,Polymarket
GPT-5.4,E7327,M14171,0.37,,,1.0,QGen
GPT-5.4,E7220,M13976,0.42,,,1.0,QGen
GPT-5.4,E6899,M13026,0.56,,,1.0,QGen
GPT-5.4,E7197,M13884,0.55,,,1.0,QGen
GPT-5.4,E3421,M06447,0.35,32.0,72.0,0.0,Kalshi
GPT-5.4,E3422,M14309,0.54,52.0,49.0,0.0,Kalshi
GPT-5.4,E3423,M06450,0.57,55.00000000000001,46.0,1.0,Kalshi
GPT-5.4,E1096,M12115,0.04,,,0.0,Kalshi
GPT-5.4,E4700,M09087,0.56,54.0,47.0,1.0,Kalshi
GPT-5.4,E3424,M06452,0.56,55.00000000000001,46.0,1.0,Kalshi
GPT-5.4,E4760,M14310,0.05,4.0,98.0,0.0,Kalshi
GPT-5.4,E2374,M09410,0.81,90.0,22.0,1.0,Kalshi
GPT-5.4,E3295,M06211,0.04,21.0,98.0,0.0,Kalshi
GPT-5.4,E0989,M01778,0.27,24.0,79.0,0.0,Polymarket
GPT-5.4,E0989,M01778,0.27,24.0,79.0,0.0,Polymarket
GPT-5.4,E0989,M01778,0.24,24.0,79.0,0.0,Polymarket
GPT-5.4,E0989,M01778,0.25,24.0,79.0,0.0,Polymarket
GPT-5.4,E1234,M08986,0.9,,,0.0,Polymarket
GPT-5.4,E0674,M08801,0.14,0.1,99.9,0.0,Polymarket
GPT-5.4,E1237,M08987,0.02,0.5599999999999999,99.7,0.0,Polymarket
GPT-5.4,E1238,M02208,0.24,35.8,99.0,0.0,Polymarket
GPT-5.4,E1237,M08988,0.04,0.5599999999999999,99.9,0.0,Polymarket
GPT-5.4,E0989,M01778,0.22,24.0,79.0,0.0,Polymarket
GPT-5.4,E1237,M08989,0.92,99.9,0.2299999999999999,1.0,Polymarket
GPT-5.4,E0675,M08802,0.88,99.0,2.0,1.0,Polymarket
GPT-5.4,E1236,M08990,0.02,0.4,99.8,0.0,Polymarket
GPT-5.4,E1238,M02209,0.04,2.1999999999999997,99.8,0.0,Polymarket
GPT-5.4,E1236,M08991,0.01,2.64,99.8,0.0,Polymarket
GPT-5.4,E1234,M02197,0.99,,,0.0,Polymarket
GPT-5.4,E1238,M02210,0.01,1.6,99.9,0.0,Polymarket
GPT-5.4,E1238,M02211,0.02,0.66,99.17,0.0,Polymarket
GPT-5.4,E0989,M01778,0.24,24.0,79.0,0.0,Polymarket
GPT-5.4,E0989,M01778,0.24,24.0,79.0,0.0,Polymarket
GPT-5.4,E0989,M01778,0.26,24.0,79.0,0.0,Polymarket
GPT-5.4,E1236,M02202,0.04,0.7000000000000001,99.4,0.0,Polymarket
GPT-5.4,E1614,M04871,0.4,49.0,79.0,0.0,Polymarket
GPT-5.4,E1614,M02905,0.09,11.0,99.8,0.0,Polymarket
GPT-5.4,E1236,M02200,0.2,98.9,99.7,0.0,Polymarket
GPT-5.4,E1238,M11506,0.01,0.7000000000000001,99.9,0.0,Polymarket
GPT-5.4,E1237,M11508,0.02,0.1,99.9,0.0,Polymarket
GPT-5.4,E1237,M11505,0.01,0.8,99.9,0.0,Polymarket
GPT-5.4,E0675,M11510,0.03,0.1,95.0,0.0,Polymarket
GPT-5.4,E1238,M11511,0.09,0.8099999999999999,99.6,0.0,Polymarket
GPT-5.4,E0679,M01225,0.04,1.2,99.9,0.0,Polymarket
GPT-5.4,E1238,M11512,0.01,0.8999999999999999,99.8,0.0,Polymarket
GPT-5.4,E0679,M01224,0.01,0.1,99.9,0.0,Polymarket
GPT-5.4,E1237,M02207,0.02,0.3899999999999999,99.8,0.0,Polymarket
GPT-5.4,E1237,M02206,0.01,0.2,99.9,0.0,Polymarket
GPT-5.4,E1237,M02204,0.03,0.1,99.9,0.0,Polymarket
GPT-5.4,E1237,M02203,0.02,0.1,99.9,0.0,Polymarket
GPT-5.4,E1237,M02205,0.02,0.1,99.9,0.0,Polymarket
GPT-5.4,E1237,M11513,0.01,0.05,99.95,0.0,Polymarket
GPT-5.4,E3438,M14311,0.23,23.0,78.0,0.0,Polymarket
GPT-5.4,E4701,M14312,0.63,64.0,37.0,1.0,Polymarket
GPT-5.4,E4701,M09089,0.2,20.0,81.0,1.0,Polymarket
GPT-5.4,E0674,M01217,0.94,1.3,99.9,0.0,Polymarket
GPT-5.4,E3445,M06489,0.51,50.0,51.0,0.0,Polymarket
GPT-5.4,E4762,M09203,0.48,63.0,40.0,0.0,Kalshi
GPT-5.4,E3425,M06454,0.56,54.0,47.0,1.0,Kalshi
GPT-5.4,E0679,M05014,0.02,0.05,99.95,0.0,Polymarket
GPT-5.4,E0679,M02906,0.02,0.1,99.9,0.0,Polymarket
GPT-5.4,E0680,M01226,0.89,99.8,0.2,1.0,Polymarket
GPT-5.4,E1094,M01965,0.03,,,0.0,Kalshi
GPT-5.4,E0674,M01217,0.14,1.3,99.9,0.0,Polymarket
GPT-5.4,E0674,M01217,0.1,1.3,99.9,0.0,Polymarket
GPT-5.4,E1093,M01963,0.02,,,0.0,Kalshi
GPT-5.4,E0581,M06100,0.19,18.0,92.0,0.0,Kalshi
GPT-5.4,E0674,M01217,0.14,1.3,99.9,0.0,Polymarket
GPT-5.4,E0674,M09096,0.39,57.99999999999999,46.739999999999995,1.0,Polymarket
GPT-5.4,E1118,M02001,0.13,5.0,96.0,0.0,Kalshi
GPT-5.4,E1119,M02003,0.04,,,0.0,Kalshi
GPT-5.4,E1120,M02005,0.11,4.0,97.0,0.0,Kalshi
GPT-5.4,E1124,M02012,0.02,,,0.0,Kalshi
GPT-5.4,E0674,M01217,0.08,1.3,99.9,0.0,Polymarket
GPT-5.4,E0537,M01000,0.97,,,1.0,Kalshi
GPT-5.4,E0576,M05632,0.02,,,0.0,Kalshi
GPT-5.4,E1246,M12897,0.03,,,0.0,Kalshi
GPT-5.4,E6927,M13054,0.53,,,0.0,QGen
GPT-5.4,E6936,M13063,0.37,,,0.0,QGen
GPT-5.4,E6928,M13055,0.55,,,1.0,QGen
GPT-5.4,E0905,M01627,0.01,,,0.0,Kalshi
GPT-5.4,E1622,M07361,0.83,99.0,14.000000000000002,0.0,Kalshi
GPT-5.4,E1622,M14313,0.86,99.0,10.0,1.0,Kalshi
GPT-5.4,E1485,M02656,0.02,,,0.0,Kalshi
GPT-5.4,E1246,M12910,0.62,34.0,73.0,0.0,Kalshi
GPT-5.4,E0675,M01218,0.02,0.8,99.87,0.0,Polymarket
GPT-5.4,E1141,M02040,0.02,,,0.0,Kalshi
GPT-5.4,E7193,M13880,0.51,,,1.0,QGen
GPT-5.4,E0675,M01218,0.05,0.8,99.87,0.0,Polymarket
GPT-5.4,E1140,M02038,0.98,,,1.0,Kalshi
GPT-5.4,E1141,M02040,0.02,,,0.0,Kalshi
GPT-5.4,E6931,M13058,0.23,,,0.0,QGen
GPT-5.4,E1140,M02038,0.96,,,1.0,Kalshi
GPT-5.4,E0888,M01597,0.01,,,0.0,Kalshi
GPT-5.4,E1140,M02038,0.96,,,1.0,Kalshi
GPT-5.4,E0500,M00942,0.03,,,0.0,Kalshi
GPT-5.4,E1129,M02022,0.98,,,1.0,Kalshi
GPT-5.4,E1129,M08995,0.83,98.0,4.0,1.0,Kalshi
GPT-5.4,E7375,M14314,0.66,,,1.0,Kalshi
GPT-5.4,E3576,M06752,0.53,53.0,49.0,1.0,Polymarket
GPT-5.4,E1375,M02453,0.75,83.0,28.000000000000004,1.0,Kalshi
GPT-5.4,E3336,M06287,0.05,4.0,98.0,0.0,Kalshi
GPT-5.4,E0592,M14300,0.03,,,0.0,Kalshi
GPT-5.4,E4706,M09099,0.91,99.0,5.7,1.0,Kalshi
GPT-5.4,E3437,M14315,0.85,97.0,10.0,1.0,Kalshi
GPT-5.4,E1622,M07362,0.76,95.0,27.0,0.0,Kalshi
GPT-5.4,E3446,M06491,0.93,97.0,4.0,1.0,Kalshi
GPT-5.4,E3577,M14316,0.36,38.0,63.0,0.0,Polymarket
GPT-5.4,E3434,M06472,0.12,11.0,90.0,0.0,Polymarket
GPT-5.4,E3396,M06400,0.03,0.05,99.95,0.0,Polymarket
GPT-5.4,E3434,M06471,0.68,72.0,28.999999999999996,1.0,Polymarket
GPT-5.4,E1668,M08380,0.01,0.7000000000000001,99.8,0.0,Polymarket
GPT-5.4,E0366,M00710,0.02,0.4,99.7,0.0,Kalshi
GPT-5.4,E1152,M02057,0.05,4.0,98.0,0.0,Kalshi
GPT-5.4,E0576,M13126,0.02,,,0.0,Kalshi
GPT-5.4,E0552,M01025,0.01,0.25,99.9,0.0,Polymarket
GPT-5.4,E3391,M06391,0.01,0.5,99.7,0.0,Polymarket
GPT-5.4,E2411,M09067,0.02,0.5,99.9,0.0,Polymarket
GPT-5.4,E2413,M10376,0.01,1.0,99.7,0.0,Polymarket
GPT-5.4,E7150,M13772,0.74,,,0.0,QGen
GPT-5.4,E7151,M13773,0.03,,,0.0,QGen
GPT-5.4,E7152,M13774,0.34,,,0.0,QGen
GPT-5.4,E7149,M13771,0.84,,,1.0,QGen
GPT-5.4,E7324,M14168,0.23,,,0.0,QGen
GPT-5.4,E7153,M13775,0.06,,,0.0,QGen
GPT-5.4,E7122,M13744,0.12,,,0.0,QGen
GPT-5.4,E0341,M09070,0.02,2.63,99.0,0.0,Polymarket
GPT-5.4,E7343,M14218,0.64,,,0.0,QGen
GPT-5.4,E3422,M06449,0.45,49.0,52.0,1.0,Kalshi
GPT-5.4,E3426,M14317,0.84,99.0,24.0,1.0,Kalshi
GPT-5.4,E3427,M06457,0.57,56.00000000000001,45.0,1.0,Kalshi
GPT-5.4,E3426,M06456,0.66,82.0,25.0,1.0,Kalshi
GPT-5.4,E3385,M13171,0.01,,,0.0,Kalshi
GPT-5.4,E7291,M14109,0.04,,,0.0,Kalshi
GPT-5.4,E4702,M09090,0.53,53.0,48.0,1.0,Kalshi
GPT-5.4,E3428,M06459,0.33,28.000000000000004,73.0,0.0,Kalshi
GPT-5.4,E4703,M09092,0.87,88.0,13.0,1.0,Kalshi
GPT-5.4,E3429,M06461,0.48,47.0,54.0,1.0,Kalshi
GPT-5.4,E7291,M14109,0.02,,,0.0,Kalshi
GPT-5.4,E3428,M06460,0.41,72.0,30.0,1.0,Kalshi
GPT-5.4,E4707,M14318,0.55,52.0,49.0,0.0,Kalshi
GPT-5.4,E4704,M09094,0.62,62.0,40.0,1.0,Kalshi
GPT-5.4,E1668,M03026,0.09,10.0,91.0,0.0,Polymarket
GPT-5.4,E7291,M14109,0.02,,,0.0,Kalshi
GPT-5.4,E1152,M06208,0.85,96.0,9.0,1.0,Kalshi
GPT-5.4,E3392,M06392,0.84,86.0,15.0,1.0,Kalshi
GPT-5.4,E1246,M02225,0.79,14.000000000000002,87.0,0.0,Kalshi
GPT-5.4,E6311,M11835,0.01,,,0.0,Kalshi
GPT-5.4,E0550,M01022,0.01,,,0.0,Kalshi
GPT-5.4,E1485,M08898,0.02,,,0.0,Kalshi
GPT-5.4,E3438,M06476,0.44,44.0,56.99999999999999,1.0,Polymarket
GPT-5.4,E3438,M06477,0.33,34.0,67.0,0.0,Polymarket
GPT-5.4,E4707,M09101,0.49,49.0,52.0,1.0,Kalshi
GPT-5.4,E4708,M09102,0.6,60.0,42.0,1.0,Kalshi
GPT-5.4,E3578,M06756,0.13,12.0,89.0,0.0,Polymarket
GPT-5.4,E3578,M06757,0.24,25.0,76.0,0.0,Polymarket
GPT-5.4,E3577,M06754,0.008,0.05,99.95,0.0,Polymarket
GPT-5.4,E3525,M06646,0.26,26.0,75.0,1.0,Polymarket
GPT-5.4,E3577,M06755,0.65,69.0,32.0,0.0,Polymarket
GPT-5.4,E3525,M06647,0.01,0.3,99.9,0.0,Polymarket
GPT-5.4,E3578,M06758,0.63,65.0,36.0,1.0,Polymarket
GPT-5.4,E1049,M01891,0.06,2.0,99.0,0.0,Kalshi
GPT-5.4,E3241,M06104,0.07,3.0,98.0,0.0,Kalshi
GPT-5.4,E7154,M13776,0.64,,,1.0,QGen
GPT-5.4,E7155,M13777,0.41,,,0.0,QGen
GPT-5.4,E3430,M06464,0.05,3.0,98.0,0.0,Kalshi
GPT-5.4,E3393,M06394,0.14,19.0,92.0,0.0,Polymarket
GPT-5.4,E1643,M02976,0.62,67.0,36.0,1.0,Kalshi
GPT-5.4,E1645,M02980,0.87,86.0,15.0,1.0,Kalshi
GPT-5.4,E3750,M07119,0.47,51.0,54.0,0.0,Kalshi
GPT-5.4,E3480,M14319,0.79,,,1.0,Polymarket
GPT-5.4,E7376,M14320,0.94,,,1.0,Polymarket
GPT-5.4,E7377,M14321,0.56,,,0.0,QGen
GPT-5.4,E7378,M14322,0.59,,,1.0,QGen
GPT-5.4,E7379,M14323,0.35,,,0.0,QGen
GPT-5.4,E7380,M14324,0.62,,,0.0,QGen
GPT-5.4,E7381,M14325,0.38,,,0.0,QGen
GPT-5.4,E7382,M14326,0.34,,,1.0,QGen
GPT-5.4,E4709,M14327,0.48,50.0,51.0,0.0,Kalshi
GPT-5.4,E4709,M09104,0.53,51.0,50.0,1.0,Kalshi
GPT-5.4,E3447,M06493,0.58,60.0,42.0,1.0,Kalshi
GPT-5.4,E7383,M14328,0.67,,,1.0,QGen
GPT-5.4,E7384,M14329,0.63,,,0.0,QGen
GPT-5.4,E7385,M14330,0.36,,,1.0,QGen
GPT-5.4,E7386,M14331,0.56,,,0.0,QGen
GPT-5.4,E7387,M14332,0.35,,,0.0,QGen
GPT-5.4,E7388,M14333,0.34,,,0.0,QGen
GPT-5.4,E3244,M06109,0.01,,,0.0,Kalshi
GPT-5.4,E0576,M08994,0.02,2.0,99.0,0.0,Kalshi
GPT-5.4,E0581,M12444,0.1,4.0,97.0,0.0,Kalshi
GPT-5.4,E1246,M12442,0.03,,,0.0,Kalshi
GPT-5.4,E7389,M14334,0.36,,,0.0,QGen
GPT-5.4,E3448,M06495,0.64,64.0,37.0,1.0,Kalshi
GPT-5.4,E7361,M14269,0.47,,,1.0,QGen
GPT-5.4,E3448,M06495,0.62,64.0,37.0,1.0,Kalshi
GPT-5.4,E3752,M07123,0.06,3.0,98.0,0.0,Kalshi
GPT-5.4,E3449,M06497,0.47,45.0,56.00000000000001,1.0,Kalshi
GPT-5.4,E7390,M14335,0.11,,,0.0,QGen
GPT-5.4,E7391,M14336,0.39,,,0.0,QGen
GPT-5.4,E7392,M14337,0.41,,,0.0,QGen
GPT-5.4,E7393,M14338,0.49,,,1.0,QGen
GPT-5.4,E7394,M14339,0.47,,,0.0,QGen
GPT-5.4,E7395,M14340,0.6,,,0.0,QGen
GPT-5.4,E7396,M14341,0.36,,,0.0,QGen
GPT-5.4,E7397,M14342,0.32,,,0.0,QGen
GPT-5.4,E7398,M14343,0.46,,,0.0,QGen
GPT-5.4,E7399,M14344,0.39,,,0.0,QGen
GPT-5.4,E7400,M14345,0.4,,,0.0,QGen
GPT-5.4,E1096,M12115,0.02,,,0.0,Kalshi
GPT-5.4,E1094,M01965,0.03,,,0.0,Kalshi
GPT-5.4,E1093,M01963,0.03,,,0.0,Kalshi
GPT-5.4,E0581,M06100,0.15,10.0,91.0,0.0,Kalshi
GPT-5.4,E1118,M02001,0.09,4.0,98.0,0.0,Kalshi
GPT-5.4,E1119,M02003,0.9,,,0.0,Kalshi
GPT-5.4,E1120,M02005,0.1,4.0,98.0,0.0,Kalshi
GPT-5.4,E1124,M02012,0.02,,,0.0,Kalshi
GPT-5.4,E0537,M01000,0.96,,,1.0,Kalshi
GPT-5.4,E1140,M02038,0.94,,,1.0,Kalshi
GPT-5.4,E1141,M02040,0.04,,,0.0,Kalshi
GPT-5.4,E0576,M05632,0.04,,,0.0,Kalshi
GPT-5.4,E4761,M09202,0.24,21.0,86.0,0.0,Kalshi
GPT-5.4,E3450,M06499,0.03,2.0,99.0,0.0,Kalshi
GPT-5.4,E1096,M03463,0.33,37.0,67.0,0.0,Kalshi
GPT-5.4,E3579,M06759,0.1,9.3,56.39999999999999,0.0,Polymarket
GPT-5.4,E3451,M06501,0.61,57.99999999999999,42.0,0.0,Polymarket
GPT-5.4,E4892,M09458,0.43,44.0,57.63,1.0,Polymarket
GPT-5.4,E3526,M06648,0.24,20.0,79.0,0.0,Polymarket
GPT-5.4,E3580,M06761,0.45,43.0,41.0,1.0,Polymarket
GPT-5.4,E7401,M14346,0.91,,,1.0,Polymarket
GPT-5.4,E6903,M13030,0.84,,,1.0,QGen
GPT-5.4,E6904,M13031,0.04,,,0.0,QGen
GPT-5.4,E3145,M05920,0.95,98.2,4.04,1.0,Polymarket
GPT-5.4,E1771,M03221,0.09,9.98,93.7,0.0,Polymarket
